UNDEF;Undefined
H74;Sonstige Krankheiten des Mittelohres und des Warzenfortsatzes
H74.0;Tympanosklerose
H74.1;Otitis media adhaesiva
H74.2;Kontinuitätsunterbrechung oder Dislokation der Gehörknöchelchenkette
H74.3;Sonstige erworbene Anomalien der Gehörknöchelchen
H74.4;Polyp im Mittelohr
H74.8;Sonstige näher bezeichnete Krankheiten des Mittelohres und des Warzenfortsatzes
H74.9;Krankheit des Mittelohres und des Warzenfortsatzes, nicht näher bezeichnet
H75;Sonstige Krankheiten des Mittelohres und des Warzenfortsatzes bei anderenorts klassifizierten Krankheiten
H75.0;Mastoiditis bei anderenorts klassifizierten infektiösen und parasitären Krankheiten
H75.8;Sonstige näher bezeichnete Krankheiten des Mittelohres und des Warzenfortsatzes bei anderenorts klassifizierten Krankheiten
H80;Otosklerose
H80.0;Otosklerose mit Beteiligung der Fenestra vestibuli, nichtobliterierend
H80.1;Otosklerose mit Beteiligung der Fenestra vestibuli, obliterierend
H80.2;Otosclerosis cochleae
H80.8;Sonstige Otosklerose
H80.9;Otosklerose, nicht näher bezeichnet
H81;Störungen der Vestibularfunktion
H81.0;Ménière-Krankheit
H81.1;Benigner paroxysmaler Schwindel
H81.2;Neuropathia vestibularis
H81.3;Sonstiger peripherer Schwindel
H81.4;Schwindel zentralen Ursprungs
H81.8;Sonstige Störungen der Vestibularfunktion
H81.9;Störung der Vestibularfunktion, nicht näher bezeichnet
H82;Schwindelsyndrome bei anderenorts klassifizierten Krankheiten
H83;Sonstige Krankheiten des Innenohres
H83.0;Labyrinthitis
H83.1;Labyrinthfistel
H83.2;Funktionsstörung des Labyrinths
H83.3;Lärmschädigungen des Innenohres
H83.8;Sonstige näher bezeichnete Krankheiten des Innenohres
H83.9;Krankheit des Innenohres, nicht näher bezeichnet
H90;Hörverlust durch Schallleitungs- oder Schallempfindungsstörung
H90.0;Beidseitiger Hörverlust durch Schallleitungsstörung
H90.1;Einseitiger Hörverlust durch Schallleitungsstörung bei nicht eingeschränktem Hörvermögen der anderen Seite
H90.2;Hörverlust durch Schallleitungsstörung, nicht näher bezeichnet
H90.3;Beidseitiger Hörverlust durch Schallempfindungsstörung
H90.4;Einseitiger Hörverlust durch Schallempfindungsstörung bei nicht eingeschränktem Hörvermögen der anderen Seite
H90.5;Hörverlust durch Schallempfindungsstörung, nicht näher bezeichnet
H90.6;Kombinierter beidseitiger Hörverlust durch Schallleitungs- und Schallempfindungsstörung
H90.7;Kombinierter einseitiger Hörverlust durch Schallleitungs- und Schallempfindungsstörung bei nicht eingeschränktem Hörvermögen der anderen Seite
H90.8;Kombinierter Hörverlust durch Schallleitungs- und Schallempfindungsstörung, nicht näher bezeichnet
H91;Sonstiger Hörverlust
H91.0;Ototoxischer Hörverlust
H91.1;Presbyakusis
H91.2;Idiopathischer Hörsturz
H91.3;Taubstummheit, anderenorts nicht klassifiziert
H91.8;Sonstiger näher bezeichneter Hörverlust
H91.9;Hörverlust, nicht näher bezeichnet
H92;Otalgie und Ohrenfluss
H92.0;Otalgie
H92.1;Otorrhoe
H92.2;Blutung aus dem äußeren Gehörgang
H93;Sonstige Krankheiten des Ohres, anderenorts nicht klassifiziert
H93.0;Degenerative und vaskuläre Krankheiten des Ohres
H93.1;Tinnitus aurium
H93.2;Sonstige abnorme Hörempfindungen
H93.3;Krankheiten des N. vestibulocochlearis [VIII. Hirnnerv]
H93.8;Sonstige näher bezeichnete Krankheiten des Ohres
H93.9;Krankheit des Ohres, nicht näher bezeichnet
H94;Sonstige Krankheiten des Ohres bei anderenorts klassifizierten Krankheiten
H94.0;Entzündung des N. vestibulocochlearis [VIII. Hirnnerv] bei anderenorts klassifizierten infektiösen und parasitären Krankheiten
H94.8;Sonstige näher bezeichnete Krankheiten des Ohres bei anderenorts klassifizierten Krankheiten
H95;Krankheiten des Ohres und des Warzenfortsatzes nach medizinischen Maßnahmen, anderenorts nicht klassifiziert
H95.0;Rezidivierendes Cholesteatom in der Mastoidhöhle nach Mastoidektomie
H95.1;Sonstige Krankheiten nach Mastoidektomie
H95.8;Sonstige Krankheiten des Ohres und des Warzenfortsatzes nach medizinischen Maßnahmen
H95.9;Krankheit des Ohres und des Warzenfortsatzes nach medizinischen Maßnahmen, nicht näher bezeichnet
I00;Rheumatisches Fieber ohne Angabe einer Herzbeteiligung
I01;Rheumatisches Fieber mit Herzbeteiligung
I01.0;Akute rheumatische Perikarditis
I01.1;Akute rheumatische Endokarditis
I01.2;Akute rheumatische Myokarditis
I01.8;Sonstige akute rheumatische Herzkrankheit
I01.9;Akute rheumatische Herzkrankheit, nicht näher bezeichnet
I02;Rheumatische Chorea
I02.0;Rheumatische Chorea mit Herzbeteiligung
I02.9;Rheumatische Chorea ohne Herzbeteiligung
I05;Rheumatische Mitralklappenkrankheiten
I05.0;Mitralklappenstenose
I05.1;Rheumatische Mitralklappeninsuffizienz
I05.2;Mitralklappenstenose mit Insuffizienz
I05.8;Sonstige Mitralklappenkrankheiten
I05.9;Mitralklappenkrankheit, nicht näher bezeichnet
I06;Rheumatische Aortenklappenkrankheiten
I06.0;Rheumatische Aortenklappenstenose
I06.1;Rheumatische Aortenklappeninsuffizienz
I06.2;Rheumatische Aortenklappenstenose mit Insuffizienz
I06.8;Sonstige rheumatische Aortenklappenkrankheiten
I06.9;Rheumatische Aortenklappenkrankheit, nicht näher bezeichnet
I07;Rheumatische Trikuspidalklappenkrankheiten
I07.0;Trikuspidalklappenstenose
I07.1;Trikuspidalklappeninsuffizienz
I07.2;Trikuspidalklappenstenose mit Insuffizienz
I07.8;Sonstige Trikuspidalklappenkrankheiten
I07.9;Trikuspidalklappenkrankheit, nicht näher bezeichnet
I08;Krankheiten mehrerer Herzklappen
I08.0;Krankheiten der Mitral- und Aortenklappe, kombiniert
I08.1;Krankheiten der Mitral- und Trikuspidalklappe, kombiniert
I08.2;Krankheiten der Aorten- und Trikuspidalklappe, kombiniert
I08.3;Krankheiten der Mitral-, Aorten- und Trikuspidalklappe, kombiniert
I08.8;Sonstige Krankheiten mehrerer Herzklappen
I08.9;Krankheit mehrerer Herzklappen, nicht näher bezeichnet
I09;Sonstige rheumatische Herzkrankheiten
I09.0;Rheumatische Myokarditis
I09.1;Rheumatische Krankheiten des Endokards, Herzklappe nicht näher bezeichnet
I09.2;Chronische rheumatische Perikarditis
I09.8;Sonstige näher bezeichnete rheumatische Herzkrankheiten
I09.9;Rheumatische Herzkrankheit, nicht näher bezeichnet
I10;Essentielle (primäre) Hypertonie
I10.0;Benigne essentielle Hypertonie
I10.00;Benigne essentielle Hypertonie: Ohne Angabe einer hypertensiven Krise
I10.01;Benigne essentielle Hypertonie: Mit Angabe einer hypertensiven Krise
I10.1;Maligne essentielle Hypertonie
I10.10;Maligne essentielle Hypertonie: Ohne Angabe einer hypertensiven Krise
I10.11;Maligne essentielle Hypertonie: Mit Angabe einer hypertensiven Krise
I10.9;Essentielle Hypertonie, nicht näher bezeichnet
I10.90;Essentielle Hypertonie, nicht näher bezeichnet: Ohne Angabe einer hypertensiven Krise
I10.91;Essentielle Hypertonie, nicht näher bezeichnet: Mit Angabe einer hypertensiven Krise
I11;Hypertensive Herzkrankheit
I11.0;Hypertensive Herzkrankheit mit (kongestiver) Herzinsuffizienz
I11.00;Hypertensive Herzkrankheit mit (kongestiver) Herzinsuffizienz: Ohne Angabe einer hypertensiven Krise
I11.01;Hypertensive Herzkrankheit mit (kongestiver) Herzinsuffizienz: Mit Angabe einer hypertensiven Krise
I11.9;Hypertensive Herzkrankheit ohne (kongestive) Herzinsuffizienz
I11.90;Hypertensive Herzkrankheit ohne (kongestive) Herzinsuffizienz: Ohne Angabe einer hypertensiven Krise
I11.91;Hypertensive Herzkrankheit ohne (kongestive) Herzinsuffizienz: Mit Angabe einer hypertensiven Krise
I12;Hypertensive Nierenkrankheit
I12.0;Hypertensive Nierenkrankheit mit Niereninsuffizienz
I12.00;Hypertensive Nierenkrankheit mit Niereninsuffizienz: Ohne Angabe einer hypertensiven Krise
I12.01;Hypertensive Nierenkrankheit mit Niereninsuffizienz: Mit Angabe einer hypertensiven Krise
I12.9;Hypertensive Nierenkrankheit ohne Niereninsuffizienz
I12.90;Hypertensive Nierenkrankheit ohne Niereninsuffizienz: Ohne Angabe einer hypertensiven Krise
I12.91;Hypertensive Nierenkrankheit ohne Niereninsuffizienz: Mit Angabe einer hypertensiven Krise
I13;Hypertensive Herz- und Nierenkrankheit
I13.0;Hypertensive Herz- und Nierenkrankheit mit (kongestiver) Herzinsuffizienz
I13.00;Hypertensive Herz- und Nierenkrankheit mit (kongestiver) Herzinsuffizienz: Ohne Angabe einer hypertensiven Krise
I13.01;Hypertensive Herz- und Nierenkrankheit mit (kongestiver) Herzinsuffizienz: Mit Angabe einer hypertensiven Krise
I13.1;Hypertensive Herz- und Nierenkrankheit mit Niereninsuffizienz
I13.10;Hypertensive Herz- und Nierenkrankheit mit Niereninsuffizienz: Ohne Angabe einer hypertensiven Krise
I13.11;Hypertensive Herz- und Nierenkrankheit mit Niereninsuffizienz: Mit Angabe einer hypertensiven Krise
I13.2;Hypertensive Herz- und Nierenkrankheit mit (kongestiver) Herzinsuffizienz und Niereninsuffizienz
I13.20;Hypertensive Herz- und Nierenkrankheit mit (kongestiver) Herzinsuffizienz und Niereninsuffizienz: Ohne Angabe einer hypertensiven Krise
I13.21;Hypertensive Herz- und Nierenkrankheit mit (kongestiver) Herzinsuffizienz und Niereninsuffizienz: Mit Angabe einer hypertensiven Krise
I13.9;Hypertensive Herz- und Nierenkrankheit, nicht näher bezeichnet
I13.90;Hypertensive Herz- und Nierenkrankheit, nicht näher bezeichnet: Ohne Angabe einer hypertensiven Krise
I13.91;Hypertensive Herz- und Nierenkrankheit, nicht näher bezeichnet: Mit Angabe einer hypertensiven Krise
I15;Sekundäre Hypertonie
I15.0;Renovaskuläre Hypertonie
I15.00;Renovaskuläre Hypertonie: Ohne Angabe einer hypertensiven Krise
I15.01;Renovaskuläre Hypertonie: Mit Angabe einer hypertensiven Krise
I15.1;Hypertonie als Folge von sonstigen Nierenkrankheiten
I15.10;Hypertonie als Folge von sonstigen Nierenkrankheiten: Ohne Angabe einer hypertensiven Krise
I15.11;Hypertonie als Folge von sonstigen Nierenkrankheiten: Mit Angabe einer hypertensiven Krise
I15.2;Hypertonie als Folge von endokrinen Krankheiten
I15.20;Hypertonie als Folge von endokrinen Krankheiten: Ohne Angabe einer hypertensiven Krise
I15.21;Hypertonie als Folge von endokrinen Krankheiten: Mit Angabe einer hypertensiven Krise
I15.8;Sonstige sekundäre Hypertonie
I15.80;Sonstige sekundäre Hypertonie: Ohne Angabe einer hypertensiven Krise
I15.81;Sonstige sekundäre Hypertonie: Mit Angabe einer hypertensiven Krise
I15.9;Sekundäre Hypertonie, nicht näher bezeichnet
I15.90;Sekundäre Hypertonie, nicht näher bezeichnet: Ohne Angabe einer hypertensiven Krise
I15.91;Sekundäre Hypertonie, nicht näher bezeichnet: Mit Angabe einer hypertensiven Krise
I20;Angina pectoris
I20.0;Instabile Angina pectoris
I20.1;Angina pectoris mit nachgewiesenem Koronarspasmus
I20.8;Sonstige Formen der Angina pectoris
I20.9;Angina pectoris, nicht näher bezeichnet
I21;Akuter Myokardinfarkt
I21.0;Akuter transmuraler Myokardinfarkt der Vorderwand
I21.1;Akuter transmuraler Myokardinfarkt der Hinterwand
I21.2;Akuter transmuraler Myokardinfarkt an sonstigen Lokalisationen
I21.3;Akuter transmuraler Myokardinfarkt an nicht näher bezeichneter Lokalisation
I21.4;Akuter subendokardialer Myokardinfarkt
I21.9;Akuter Myokardinfarkt, nicht näher bezeichnet
I22;Rezidivierender Myokardinfarkt
I22.0;Rezidivierender Myokardinfarkt der Vorderwand
I22.1;Rezidivierender Myokardinfarkt der Hinterwand
I22.8;Rezidivierender Myokardinfarkt an sonstigen Lokalisationen
I22.9;Rezidivierender Myokardinfarkt an nicht näher bezeichneter Lokalisation
I23;Bestimmte akute Komplikationen nach akutem Myokardinfarkt
I23.0;Hämoperikard als akute Komplikation nach akutem Myokardinfarkt
I23.1;Vorhofseptumdefekt als akute Komplikation nach akutem Myokardinfarkt
I23.2;Ventrikelseptumdefekt als akute Komplikation nach akutem Myokardinfarkt
I23.3;Ruptur der Herzwand ohne Hämoperikard als akute Komplikation nach akutem Myokardinfarkt
I23.4;Ruptur der Chordae tendineae als akute Komplikation nach akutem Myokardinfarkt
I23.5;Papillarmuskelruptur als akute Komplikation nach akutem Myokardinfarkt
I23.6;Thrombose des Vorhofes, des Herzohres oder der Kammer als akute Komplikation nach akutem Myokardinfarkt
I23.8;Sonstige akute Komplikationen nach akutem Myokardinfarkt
I24;Sonstige akute ischämische Herzkrankheit
I24.0;Koronarthrombose ohne nachfolgenden Myokardinfarkt
I24.1;Postmyokardinfarkt-Syndrom
I24.8;Sonstige Formen der akuten ischämischen Herzkrankheit
I24.9;Akute ischämische Herzkrankheit, nicht näher bezeichnet
I25;Chronische ischämische Herzkrankheit
I25.0;Atherosklerotische Herz-Kreislauf-Krankheit, so beschrieben
I25.1;Atherosklerotische Herzkrankheit
I25.10;Atherosklerotische Herzkrankheit: Ohne hämodynamisch wirksame Stenosen
I25.11;Atherosklerotische Herzkrankheit: Ein-Gefäß-Erkrankung
I25.12;Atherosklerotische Herzkrankheit: Zwei-Gefäß-Erkrankung
I25.13;Atherosklerotische Herzkrankheit: Drei-Gefäß-Erkrankung
I25.14;Atherosklerotische Herzkrankheit: Stenose des linken Hauptstammes
I25.15;Atherosklerotische Herzkrankheit: Mit stenosierten Bypass-Gefäßen
I25.16;Atherosklerotische Herzkrankheit: Mit stenosierten Stents
I25.19;Atherosklerotische Herzkrankheit: Nicht näher bezeichnet
I25.2;Alter Myokardinfarkt
I25.20;Alter Myokardinfarkt: 29 Tage bis unter 4 Monate zurückliegend
I25.21;Alter Myokardinfarkt: 4 Monate bis unter 1 Jahr zurückliegend
I25.22;Alter Myokardinfarkt: 1 Jahr und länger zurückliegend
I25.29;Alter Myokardinfarkt: Nicht näher bezeichnet
I25.3;Herz (-Wand) -Aneurysma
I25.4;Koronararterienaneurysma
I25.5;Ischämische Kardiomyopathie
I25.6;Stumme Myokardischämie
I25.8;Sonstige Formen der chronischen ischämischen Herzkrankheit
I25.9;Chronische ischämische Herzkrankheit, nicht näher bezeichnet
I26;Lungenembolie
I26.0;Lungenembolie mit Angabe eines akuten Cor pulmonale
I26.9;Lungenembolie ohne Angabe eines akuten Cor pulmonale
I27;Sonstige pulmonale Herzkrankheiten
I27.0;Primäre pulmonale Hypertonie
I27.1;Kyphoskoliotische Herzkrankheit
I27.2;Sonstige näher bezeichnete sekundäre pulmonale Hypertonie
I27.20;Pulmonale Hypertonie bei chronischer Thromboembolie
I27.28;Sonstige näher bezeichnete sekundäre pulmonale Hypertonie
I27.8;Sonstige näher bezeichnete pulmonale Herzkrankheiten
I27.9;Pulmonale Herzkrankheit, nicht näher bezeichnet
I28;Sonstige Krankheiten der Lungengefäße
I28.0;Arteriovenöse Fistel der Lungengefäße
I28.1;Aneurysma der A. pulmonalis
I28.8;Sonstige näher bezeichnete Krankheiten der Lungengefäße
I28.9;Krankheit der Lungengefäße, nicht näher bezeichnet
I30;Akute Perikarditis
I30.0;Akute unspezifische idiopathische Perikarditis
I30.1;Infektiöse Perikarditis
I30.8;Sonstige Formen der akuten Perikarditis
I30.9;Akute Perikarditis, nicht näher bezeichnet
I31;Sonstige Krankheiten des Perikards
I31.0;Chronische adhäsive Perikarditis
I31.1;Chronische konstriktive Perikarditis
I31.2;Hämoperikard, anderenorts nicht klassifiziert
I31.3;Perikarderguss (nichtentzündlich)
I31.8;Sonstige näher bezeichnete Krankheiten des Perikards
I31.9;Krankheit des Perikards, nicht näher bezeichnet
I32;Perikarditis bei anderenorts klassifizierten Krankheiten
I32.0;Perikarditis bei anderenorts klassifizierten bakteriellen Krankheiten
I32.1;Perikarditis bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten
I32.8;Perikarditis bei sonstigen anderenorts klassifizierten Krankheiten
I33;Akute und subakute Endokarditis
I33.0;Akute und subakute infektiöse Endokarditis
I33.9;Akute Endokarditis, nicht näher bezeichnet
I34;Nichtrheumatische Mitralklappenkrankheiten
I34.0;Mitralklappeninsuffizienz
I34.1;Mitralklappenprolaps
I34.2;Nichtrheumatische Mitralklappenstenose
I34.8;Sonstige nichtrheumatische Mitralklappenkrankheiten
I34.80;Nichtrheumatische Mitralklappenstenose mit Mitralklappeninsuffizienz
I34.88;Sonstige nichtrheumatische Mitralklappenkrankheiten
I34.9;Nichtrheumatische Mitralklappenkrankheit, nicht näher bezeichnet
I35;Nichtrheumatische Aortenklappenkrankheiten
I35.0;Aortenklappenstenose
I35.1;Aortenklappeninsuffizienz
I35.2;Aortenklappenstenose mit Insuffizienz
I35.8;Sonstige Aortenklappenkrankheiten
I35.9;Aortenklappenkrankheit, nicht näher bezeichnet
I36;Nichtrheumatische Trikuspidalklappenkrankheiten
I36.0;Nichtrheumatische Trikuspidalklappenstenose
I36.1;Nichtrheumatische Trikuspidalklappeninsuffizienz
I36.2;Nichtrheumatische Trikuspidalklappenstenose mit Insuffizienz
I36.8;Sonstige nichtrheumatische Trikuspidalklappenkrankheiten
I36.9;Nichtrheumatische Trikuspidalklappenkrankheit, nicht näher bezeichnet
I37;Pulmonalklappenkrankheiten
I37.0;Pulmonalklappenstenose
I37.1;Pulmonalklappeninsuffizienz
I37.2;Pulmonalklappenstenose mit Insuffizienz
I37.8;Sonstige Pulmonalklappenkrankheiten
I37.9;Pulmonalklappenkrankheit, nicht näher bezeichnet
I38;Endokarditis, Herzklappe nicht näher bezeichnet
I39;Endokarditis und Herzklappenkrankheiten bei anderenorts klassifizierten Krankheiten
I39.0;Mitralklappenkrankheiten bei anderenorts klassifizierten Krankheiten
I39.1;Aortenklappenkrankheiten bei anderenorts klassifizierten Krankheiten
I39.2;Trikuspidalklappenkrankheiten bei anderenorts klassifizierten Krankheiten
I39.3;Pulmonalklappenkrankheiten bei anderenorts klassifizierten Krankheiten
I39.4;Krankheiten mehrerer Herzklappen bei anderenorts klassifizierten Krankheiten
I39.8;Endokarditis bei anderenorts klassifizierten Krankheiten, Herzklappe nicht näher bezeichnet
I40;Akute Myokarditis
I40.0;Infektiöse Myokarditis
I40.1;Isolierte Myokarditis
I40.8;Sonstige akute Myokarditis
I40.9;Akute Myokarditis, nicht näher bezeichnet
I41;Myokarditis bei anderenorts klassifizierten Krankheiten
I41.0;Myokarditis bei anderenorts klassifizierten bakteriellen Krankheiten
I41.1;Myokarditis bei anderenorts klassifizierten Viruskrankheiten
I41.2;Myokarditis bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten
I41.8;Myokarditis bei sonstigen anderenorts klassifizierten Krankheiten
I42;Kardiomyopathie
I42.0;Dilatative Kardiomyopathie
I42.1;Hypertrophische obstruktive Kardiomyopathie
I42.2;Sonstige hypertrophische Kardiomyopathie
I42.3;Eosinophile endomyokardiale Krankheit
I42.4;Endokardfibroelastose
I42.5;Sonstige restriktive Kardiomyopathie
I42.6;Alkoholische Kardiomyopathie
I42.7;Kardiomyopathie durch Arzneimittel oder sonstige exogene Substanzen
I42.8;Sonstige Kardiomyopathien
I42.80;Arrhythmogene rechtsventrikuläre Kardiomyopathie [ARVCM]
I42.88;Sonstige Kardiomyopathien
I42.9;Kardiomyopathie, nicht näher bezeichnet
I43;Kardiomyopathie bei anderenorts klassifizierten Krankheiten
I43.0;Kardiomyopathie bei anderenorts klassifizierten infektiösen und parasitären Krankheiten
I43.1;Kardiomyopathie bei Stoffwechselkrankheiten
I43.2;Kardiomyopathie bei alimentären Krankheiten
I43.8;Kardiomyopathie bei sonstigen anderenorts klassifizierten Krankheiten
I44;Atrioventrikulärer Block und Linksschenkelblock
I44.0;Atrioventrikulärer Block 1. Grades
I44.1;Atrioventrikulärer Block 2. Grades
I44.2;Atrioventrikulärer Block 3. Grades
I44.3;Sonstiger und nicht näher bezeichneter atrioventrikulärer Block
I44.4;Linksanteriorer Faszikelblock
I44.5;Linksposteriorer Faszikelblock
I44.6;Sonstiger und nicht näher bezeichneter Faszikelblock
I44.7;Linksschenkelblock, nicht näher bezeichnet
I45;Sonstige kardiale Erregungsleitungsstörungen
I45.0;Rechtsfaszikulärer Block
I45.1;Sonstiger und nicht näher bezeichneter Rechtsschenkelblock
I45.2;Bifaszikulärer Block
I45.3;Trifaszikulärer Block
I45.4;Unspezifischer intraventrikulärer Block
I45.5;Sonstiger näher bezeichneter Herzblock
I45.6;Präexzitations-Syndrom
I45.8;Sonstige näher bezeichnete kardiale Erregungsleitungsstörungen
I45.9;Kardiale Erregungsleitungsstörung, nicht näher bezeichnet
I46;Herzstillstand
I46.0;Herzstillstand mit erfolgreicher Wiederbelebung
I46.1;Plötzlicher Herztod, so beschrieben
I46.9;Herzstillstand, nicht näher bezeichnet
I47;Paroxysmale Tachykardie
I47.0;Ventrikuläre Arrhythmie durch Re-entry
I47.1;Supraventrikuläre Tachykardie
I47.2;Ventrikuläre Tachykardie
I47.9;Paroxysmale Tachykardie, nicht näher bezeichnet
I48;Vorhofflimmern und Vorhofflattern
I48.0;Vorhofflimmern, paroxysmal
I48.1;Vorhofflimmern, persistierend
I48.2;Vorhofflimmern, permanent
I48.3;Vorhofflattern, typisch
I48.4;Vorhofflattern, atypisch
I48.9;Vorhofflimmern und Vorhofflattern, nicht näher bezeichnet
I49;Sonstige kardiale Arrhythmien
I49.0;Kammerflattern und Kammerflimmern
I49.1;Vorhofextrasystolie
I49.2;AV-junktionale Extrasystolie
I49.3;Ventrikuläre Extrasystolie
I49.4;Sonstige und nicht näher bezeichnete Extrasystolie
I49.5;Sick-Sinus-Syndrom
I49.8;Sonstige näher bezeichnete kardiale Arrhythmien
I49.9;Kardiale Arrhythmie, nicht näher bezeichnet
I50;Herzinsuffizienz
I50.0;Rechtsherzinsuffizienz
I50.00;Primäre Rechtsherzinsuffizienz
I50.01;Sekundäre Rechtsherzinsuffizienz
I50.1;Linksherzinsuffizienz
I50.11;Linksherzinsuffizienz: Ohne Beschwerden
I50.12;Linksherzinsuffizienz: Mit Beschwerden bei stärkerer Belastung
I50.13;Linksherzinsuffizienz: Mit Beschwerden bei leichterer Belastung
I50.14;Linksherzinsuffizienz: Mit Beschwerden in Ruhe
I50.19;Linksherzinsuffizienz: Nicht näher bezeichnet
I50.9;Herzinsuffizienz, nicht näher bezeichnet
I51;Komplikationen einer Herzkrankheit und ungenau beschriebene Herzkrankheit
I51.0;Herzseptumdefekt, erworben
I51.1;Ruptur der Chordae tendineae, anderenorts nicht klassifiziert
I51.2;Papillarmuskelruptur, anderenorts nicht klassifiziert
I51.3;Intrakardiale Thrombose, anderenorts nicht klassifiziert
I51.4;Myokarditis, nicht näher bezeichnet
I51.5;Myokarddegeneration
I51.6;Herz-Kreislauf-Krankheit, nicht näher bezeichnet
I51.7;Kardiomegalie
I51.8;Sonstige ungenau bezeichnete Herzkrankheiten
I51.9;Herzkrankheit, nicht näher bezeichnet
I52;Sonstige Herzkrankheiten bei anderenorts klassifizierten Krankheiten
I52.0;Sonstige Herzkrankheiten bei anderenorts klassifizierten bakteriellen Krankheiten
I52.1;Sonstige Herzkrankheiten bei sonstigen anderenorts klassifizierten infektiösen und parasitären Krankheiten
I52.8;Sonstige Herzkrankheiten bei sonstigen anderenorts klassifizierten Krankheiten
I60;Subarachnoidalblutung
I60.0;Subarachnoidalblutung, vom Karotissiphon oder der Karotisbifurkation ausgehend
I60.1;Subarachnoidalblutung, von der A. cerebri media ausgehend
I60.2;Subarachnoidalblutung, von der A. communicans anterior ausgehend
I60.3;Subarachnoidalblutung, von der A. communicans posterior ausgehend
I60.4;Subarachnoidalblutung, von der A. basilaris ausgehend
I60.5;Subarachnoidalblutung, von der A. vertebralis ausgehend
I60.6;Subarachnoidalblutung, von sonstigen intrakraniellen Arterien ausgehend
I60.7;Subarachnoidalblutung, von nicht näher bezeichneter intrakranieller Arterie ausgehend
I60.8;Sonstige Subarachnoidalblutung
I60.9;Subarachnoidalblutung, nicht näher bezeichnet
I61;Intrazerebrale Blutung
I61.0;Intrazerebrale Blutung in die Großhirnhemisphäre, subkortikal
I61.1;Intrazerebrale Blutung in die Großhirnhemisphäre, kortikal
I61.2;Intrazerebrale Blutung in die Großhirnhemisphäre, nicht näher bezeichnet
I61.3;Intrazerebrale Blutung in den Hirnstamm
I61.4;Intrazerebrale Blutung in das Kleinhirn
I61.5;Intrazerebrale intraventrikuläre Blutung
I61.6;Intrazerebrale Blutung an mehreren Lokalisationen
I61.8;Sonstige intrazerebrale Blutung
I61.9;Intrazerebrale Blutung, nicht näher bezeichnet
I62;Sonstige nichttraumatische intrakranielle Blutung
I62.0;Subdurale Blutung (nichttraumatisch)
I62.00;Subdurale Blutung (nichttraumatisch): Akut
I62.01;Subdurale Blutung (nichttraumatisch): Subakut
I62.02;Subdurale Blutung (nichttraumatisch): Chronisch
I62.09;Subdurale Blutung (nichttraumatisch): Nicht näher bezeichnet
I62.1;Nichttraumatische extradurale Blutung
I62.9;Intrakranielle Blutung (nichttraumatisch), nicht näher bezeichnet
I63;Hirninfarkt
I63.0;Hirninfarkt durch Thrombose präzerebraler Arterien
I63.1;Hirninfarkt durch Embolie präzerebraler Arterien
I63.2;Hirninfarkt durch nicht näher bezeichneten Verschluss oder Stenose präzerebraler Arterien
I63.3;Hirninfarkt durch Thrombose zerebraler Arterien
I63.4;Hirninfarkt durch Embolie zerebraler Arterien
I63.5;Hirninfarkt durch nicht näher bezeichneten Verschluss oder Stenose zerebraler Arterien
I63.6;Hirninfarkt durch Thrombose der Hirnvenen, nichteitrig
I63.8;Sonstiger Hirninfarkt
I63.9;Hirninfarkt, nicht näher bezeichnet
I64;Schlaganfall, nicht als Blutung oder Infarkt bezeichnet
I65;Verschluss und Stenose präzerebraler Arterien ohne resultierenden Hirninfarkt
I65.0;Verschluss und Stenose der A. vertebralis
I65.1;Verschluss und Stenose der A. basilaris
I65.2;Verschluss und Stenose der A. carotis
I65.3;Verschluss und Stenose mehrerer und beidseitiger präzerebraler Arterien
I65.8;Verschluss und Stenose sonstiger präzerebraler Arterien
I65.9;Verschluss und Stenose einer nicht näher bezeichneten präzerebralen Arterie
I66;Verschluss und Stenose zerebraler Arterien ohne resultierenden Hirninfarkt
I66.0;Verschluss und Stenose der A. cerebri media
I66.1;Verschluss und Stenose der A. cerebri anterior
I66.2;Verschluss und Stenose der A. cerebri posterior
I66.3;Verschluss und Stenose der Aa. cerebelli
I66.4;Verschluss und Stenose mehrerer und beidseitiger zerebraler Arterien
I66.8;Verschluss und Stenose sonstiger zerebraler Arterien
I66.9;Verschluss und Stenose einer nicht näher bezeichneten zerebralen Arterie
I67;Sonstige zerebrovaskuläre Krankheiten
I67.0;Dissektion zerebraler Arterien
I67.1;Zerebrales Aneurysma und zerebrale arteriovenöse Fistel
I67.10;Zerebrales Aneurysma (erworben)
I67.11;Zerebrale arteriovenöse Fistel (erworben)
I67.2;Zerebrale Atherosklerose
I67.3;Progressive subkortikale vaskuläre Enzephalopathie
I67.4;Hypertensive Enzephalopathie
I67.5;Moyamoya-Syndrom
I67.6;Nichteitrige Thrombose des intrakraniellen Venensystems
I67.7;Zerebrale Arteriitis, anderenorts nicht klassifiziert
I67.8;Sonstige näher bezeichnete zerebrovaskuläre Krankheiten
I67.80;Vasospasmen bei Subarachnoidalblutung
I67.88;Sonstige näher bezeichnete zerebrovaskuläre Krankheiten
I67.9;Zerebrovaskuläre Krankheit, nicht näher bezeichnet
I68;Zerebrovaskuläre Störungen bei anderenorts klassifizierten Krankheiten
I68.0;Zerebrale Amyloidangiopathie
